date,datetime,cash_type,card,money,coffee_name
5/12/24,2024-05-12 13:27:39,card,ANON-0000-0000-0161,27.92,Americano
5/12/24,2024-05-12 15:16:20,card,ANON-0000-0000-0077,37.72,Latte
5/12/24,2024-05-12 15:38:02,card,ANON-0000-0000-0162,32.82,Americano with Milk
5/12/24,2024-05-12 15:52:15,card,ANON-0000-0000-0163,32.82,Americano with Milk
5/12/24,2024-05-12 16:04:21,card,ANON-0000-0000-0012,32.82,Americano with Milk
5/12/24,2024-05-12 19:41:31,card,ANON-0000-0000-0009,32.82,Americano with Milk
5/13/24,2024-05-13 11:03:53,card,ANON-0000-0000-0164,32.82,Americano with Milk
5/13/24,2024-05-13 15:31:11,cash,,29,Americano
5/13/24,2024-05-13 15:31:51,cash,,29,Americano
5/14/24,2024-05-14 08:38:15,card,ANON-0000-0000-0012,27.92,Americano
5/14/24,2024-05-14 08:39:25,card,ANON-0000-0000-0012,27.92,Americano
5/14/24,2024-05-14 08:40:17,card,ANON-0000-0000-0012,27.92,Americano
5/14/24,2024-05-14 10:19:23,card,ANON-0000-0000-0012,37.72,Cappuccino
5/14/24,2024-05-14 11:32:29,card,ANON-0000-0000-0165,37.72,Latte
5/14/24,2024-05-14 11:34:13,card,ANON-0000-0000-0165,37.72,Cappuccino
5/14/24,2024-05-14 14:04:55,card,ANON-0000-0000-0025,37.72,Cappuccino
5/14/24,2024-05-14 14:06:00,card,ANON-0000-0000-0009,32.82,Americano with Milk
5/14/24,2024-05-14 15:01:55,card,ANON-0000-0000-0040,27.92,Americano
5/14/24,2024-05-14 16:57:57,card,ANON-0000-0000-0166,32.82,Americano with Milk
5/14/24,2024-05-14 16:59:10,card,ANON-0000-0000-0166,37.72,Cappuccino
5/14/24,2024-05-14 22:51:25,card,ANON-0000-0000-0167,37.72,Hot Chocolate
5/15/24,2024-05-15 08:40:06,card,ANON-0000-0000-0168,37.72,Latte
5/15/24,2024-05-15 11:14:19,card,ANON-0000-0000-0012,23.02,Espresso
5/15/24,2024-05-15 11:19:10,card,ANON-0000-0000-0012,27.92,Americano
5/15/24,2024-05-15 13:34:35,card,ANON-0000-0000-0003,27.92,Americano
5/15/24,2024-05-15 13:35:29,card,ANON-0000-0000-0003,27.92,Americano
5/15/24,2024-05-15 13:36:27,card,ANON-0000-0000-0003,27.92,Americano
5/15/24,2024-05-15 13:55:29,card,ANON-0000-0000-0164,32.82,Americano with Milk
5/15/24,2024-05-15 14:38:11,cash,,29,Americano
5/15/24,2024-05-15 14:38:52,card,ANON-0000-0000-0169,27.92,Cortado
5/15/24,2024-05-15 14:39:44,card,ANON-0000-0000-0012,27.92,Cortado
5/15/24,2024-05-15 17:28:59,card,ANON-0000-0000-0170,23.02,Espresso
5/15/24,2024-05-15 20:20:35,card,ANON-0000-0000-0171,37.72,Cappuccino
